timestamp,vins_x,vins_y,vins_z,gps_x,gps_y,gps_z,error_2d,error_3d,error_x,error_y,error_z
1645814081.8790255,-24.022053168032738,11.326689059821607,9.696952759862393,-3.510522067076271,25.657988360641813,9.299999999999997,25.02217112392916,25.025319563369347,20.511531100956468,14.331299300820206,0.39695275986239587
1645814081.9790218,-24.09088927052136,11.327461719156538,9.694601094691317,-3.5434810034703697,25.708205298055727,9.299999999999997,25.079907742552116,25.08301182870305,20.54740826705099,14.380743578899189,0.39460109469131943
1645814082.0790296,-24.161329671459477,11.330047226984526,9.692950420236558,-3.5763071166162588,25.766856224774397,9.299999999999997,25.14288383662603,25.145954299943256,20.585022554843217,14.436808997789871,0.392950420236561
1645814082.1789458,-24.230300638557953,11.338103749011566,9.69478268188689,-3.60888197750905,25.82505823487881,9.299999999999997,25.201483247417105,25.204575204429904,20.621418661048903,14.486954485867244,0.3947826818868929
1645814082.2792387,-24.295563817967594,11.352888798976167,9.701702429671656,-3.6414446246042402,25.883238422212404,9.299999999999997,25.253191874041228,25.256386611491873,20.654119193363353,14.530349623236237,0.4017024296716585
1645814082.378963,-24.36501564107652,11.362344297057636,9.712690790215518,-3.67285323581818,25.939356676322273,9.299999999999997,25.31116107393774,25.31452524933363,20.69216240525834,14.577012379264637,0.412690790215521
1645814082.4789624,-24.424650659373746,11.381230016702197,9.726876955255523,-3.7039407056839613,25.99490114245565,9.299999999999997,25.35561485660758,25.359207966566053,20.720709953689784,14.613671125753452,0.42687695525552627
1645814082.5790682,-24.498000193168473,11.394995579028109,9.740148163379535,-3.730604445879512,26.05669834688728,9.33468318184827,25.421452637045842,25.42468595732921,20.767395747288962,14.661702767859172,0.4054649815312654
1645814082.678965,-24.57010183283815,11.410172214366547,9.754293249412067,-3.75529469111996,26.121031912571162,9.384219032261107,25.488538392916595,25.491224849610173,20.81480714171819,14.710859698204615,0.37007421715095923
1645814082.7799244,-24.644313973125637,11.428186372606778,9.768337731005028,-3.7802303204968277,26.19235882518125,9.399999999999991,25.559553495185547,25.562207407759868,20.86408365262881,14.76417245257447,0.3683377310050364
1645814082.8790832,-24.71551970898654,11.453498628886107,9.78302504692666,-3.804713466897437,26.265266189442084,9.399999999999991,25.625188310764294,25.628050728619687,20.910806242089105,14.811767560555976,0.3830250469266687
