timestamp,vins_x,vins_y,vins_z,gps_x,gps_y,gps_z,time_diff,error_x,error_y,error_z,error_2d,error_3d
1517155505.5147402,-8.166255724976622,-10.75889588588412,3.546146682495383,1.805628599282548,-3.5065639598355927,4.399999999999999,0.06355166435241699,-9.97188432425917,-7.252331926048528,-0.8538533175046155,12.33023906264548,12.359767830740275
1517155505.6147597,-8.132031677282974,-10.687016231441362,3.496371009980818,1.8934022120743554,-3.395244469323374,4.299999999999997,0.03482532501220703,-10.02543388935733,-7.291771762117988,-0.8036289900191793,12.396743931399717,12.422764573728948
1517155505.7145145,-8.096674539509557,-10.611906083849705,3.4411940373730303,1.8934022120743554,-3.395244469323374,4.299999999999997,0.06492948532104492,-9.990076751583914,-7.216661614526331,-0.8588059626269668,12.324034987012784,12.35392188912326
1517155505.8147173,-8.052755050421489,-10.528078700733655,3.3858781707944434,1.9686367368662707,-3.302478227229858,4.200000000000003,0.03910708427429199,-10.02139178728776,-7.225600473503797,-0.8141218292055594,12.354658860406339,12.381453465155287
1517155505.9149556,-8.018471986462785,-10.460867746559781,3.340736325920968,1.9686367368662707,-3.302478227229858,4.200000000000003,0.06113123893737793,-9.987108723329056,-7.158389519329924,-0.8592636740790347,12.287590535253354,12.317597786242237
1517155506.0148485,-7.976636404001546,-10.38636482897912,3.2880141608081566,2.056410349658078,-3.191158735926666,4.100000000000001,0.04561257362365723,-10.033046753659624,-7.195206093052454,-0.8119858391918449,12.3463767107042,12.373048892074547
1517155506.114769,-7.9434537953903614,-10.321891526093724,3.23347155049167,2.056410349658078,-3.191158735926666,4.100000000000001,0.05430793762207031,-9.99986414504844,-7.130732790167058,-0.8665284495083316,12.281882308676837,12.312412622958847
1517155506.2144158,-7.904680115324929,-10.247910580761019,3.160376310589122,2.1316448744499934,-3.098392493833151,4.0,0.04192996025085449,-10.036324989774922,-7.149518086927868,-0.8396236894108782,12.322476543929362,12.351048381231015
1517155506.3146398,-7.875327811492234,-10.18520240866771,3.089129930732101,2.1316448744499934,-3.098392493833151,4.0,0.058294057846069336,-10.006972685942227,-7.086809914834559,-0.910870069267899,12.262233773101507,12.29601811113172
1517155506.4149468,-7.851994549999603,-10.12164061243641,3.015640344291203,2.2068793992419082,-3.005626251739635,3.8999999999999986,0.04687070846557617,-10.05887394924151,-7.116014360696775,-0.8843596557087956,12.321469291783842,12.353165485373278
1517155506.515142,-7.831589679842331,-10.06243720318727,2.939046299407174,2.2068793992419082,-3.005626251739635,3.8999999999999986,0.05332446098327637,-10.038469079084239,-7.056810951447636,-0.9609537005928246,12.270674075053972,12.308244158728925
1517155506.6149771,-7.815264922728879,-10.002007411502486,2.8554745694197123,2.2570357496377587,-2.9128600088551466,3.799999999999997,0.041008710861206055,-10.072300672366637,-7.08914740264734,-0.9445254305802848,12.316949773828703,12.353112159291351
1517155506.714392,-7.810263040365825,-9.956918878613864,2.7804594996190026,2.2570357496377587,-2.9128600088551466,3.799999999999997,0.05840611457824707,-10.067298790003584,-7.044058869758718,-1.0195405003809945,12.286955289567635,12.329182175625082
1517155506.8146334,-7.809605292522633,-9.913471704090561,2.705256857467738,2.294653012033716,-2.820093766761631,3.6000000000000014,0.03783869743347168,-10.10425830455635,-7.09337793732893,-0.8947431425322634,12.345527386344449,12.377908213348865
1517155506.9148557,-7.813521290436391,-9.871876044862155,2.641913396091722,2.294653012033716,-2.820093766761631,3.6000000000000014,0.06238365173339844,-10.108174302470108,-7.051782278100524,-0.9580866039082796,12.32488624802881,12.36206904071637
1517155507.0144484,-7.826027995662045,-9.844374803449579,2.5873464119155223,2.3071920994990354,-2.745880773086818,3.5,0.04747724533081055,-10.13322009516108,-7.098494030362761,-0.9126535880844777,12.372177132423868,12.40579314545892
1517155507.1145928,-7.839798855481,-9.809660556992723,2.526513678820466,2.3071920994990354,-2.745880773086818,3.5,0.05266714096069336,-10.146990954980035,-7.063779783905905,-0.9734863211795339,12.363592126722896,12.4018581629322
1517155507.2149367,-7.86251113321363,-9.778754602209798,2.472741981693506,2.3071920994990354,-2.671667779412006,3.3999999999999986,0.028784513473510742,-10.169703232712665,-7.1070868227977915,-0.9272580183064925,12.406995887330359,12.441597742281582
1517155507.3148122,-7.891021824635288,-9.745565640895038,2.4177981528502723,2.3071920994990354,-2.671667779412006,3.3999999999999986,0.0710909366607666,-10.198213924134324,-7.073897861483031,-0.9822018471497262,12.411430143102018,12.450233679158224
1517155507.4143145,-7.9273557380981785,-9.715717066163963,2.366584393040755,2.269574837103078,-2.597454784946221,3.3999999999999986,0.033503055572509766,-10.196930575201257,-7.118262281217742,-1.0334156069592435,12.435716748932547,12.47858160515002
1517155507.5144804,-7.970517448371311,-9.681086102932568,2.3141146861992166,2.269574837103078,-2.597454784946221,3.3999999999999986,0.06666278839111328,-10.24009228547439,-7.083631317986347,-1.085885313800782,12.451398422032327,12.498658711194466
1517155507.614252,-8.021401431412592,-9.644784475862842,2.26604573181495,2.2068793992419082,-2.5046885428527053,3.299999999999997,0.036576271057128906,-10.2282808306545,-7.140095933010137,-1.033954268185047,12.473920742225445,12.516699249882944
1517155507.714823,-8.07839030113221,-9.608754209552437,2.220008136603381,2.2068793992419082,-2.5046885428527053,3.299999999999997,0.0639946460723877,-10.285269700374117,-7.104065666699732,-1.0799918633966161,12.50018087094006,12.54674875141838
1517155507.8146656,-8.142356199329633,-9.56870599351506,2.1713481056668194,2.1316448744499934,-2.4119223007591892,3.200000000000003,0.041016578674316406,-10.274001073779626,-7.156783692755871,-1.0286518943331835,12.520968448523512,12.563151499868036
1517155507.9143257,-8.212173033828506,-9.527828245643773,2.130463118927466,2.1316448744499934,-2.4119223007591892,3.200000000000003,0.05864357948303223,-10.3438179082785,-7.1159059448845845,-1.069536881072537,12.555105986652075,12.600579172246057
1517155508.0145955,-8.285459819746855,-9.49798457458386,2.099293109154159,2.0313321747274395,-2.3191560586656736,3.1000000000000014,0.03818202018737793,-10.316791994474293,-7.178828515918187,-1.0007068908458425,12.5686823461415,12.60845709036579
1517155508.1148117,-8.364718830790807,-9.465642556396983,2.0649061878322925,2.0313321747274395,-2.3191560586656736,3.1000000000000014,0.06203413009643555,-10.396051005518245,-7.146486497731309,-1.035093812167709,12.615472475162903,12.657865735248604
1517155508.2144637,-8.447531972718615,-9.434728888224699,2.030785321223842,1.918480387004994,-2.2263898157811854,3.1000000000000014,0.03927803039550781,-10.366012359723609,-7.208339072443513,-1.0692146787761594,12.625940140253256,12.671131932647882
1517155510.2142572,-10.107132216299341,-9.190472872465588,1.1077477317276063,0.5767980250084022,-1.5770261195446302,2.200000000000003,0.03381848335266113,-10.683930241307744,-7.613446752920957,-1.0922522682723965,13.11910579501106,13.164495883938702
1517155510.3142836,-10.160591647699235,-9.195859507587576,1.086130707692778,0.5767980250084022,-1.5770261195446302,2.200000000000003,0.0662078857421875,-10.737389672707637,-7.618833388042946,-1.1138692923072249,13.165795045432182,13.212829522046803
1517155510.414245,-10.231358159449492,-9.201833599828186,1.0527284308002862,0.47648532475127536,-1.5584728711259268,2.200000000000003,0.0498504638671875,-10.707843484200767,-7.643360728702259,-1.1472715691997166,13.155944485714766,13.205873972013467
1517155510.513978,-10.28367993986857,-9.204262714685564,1.0202060528764019,0.47648532475127536,-1.5584728711259268,2.200000000000003,0.04988265037536621,-10.760165264619845,-7.645789843559637,-1.179793947123601,13.199971926250871,13.252591165937348
1517155510.614297,-10.344824765282205,-9.198921216242196,0.9733000119299913,0.40125079995936036,-1.5213663742885204,2.1000000000000014,0.03737330436706543,-10.746075565241565,-7.677554841953675,-1.1266999880700101,13.206929560086559,13.254902537106982
